Tunnus;Nimi;Jakeluosoite;Postinumero;Postitoimipaikka;Huoneala (hum²);Bruttoala (brm²);Tilavuus (rm³);Kerrosala (m²);Rakennusvuosi;Peruskorjausvuosi;Kerrosten lkm;Kellarikerrosten lkm;Ullakkokerrosten lkm
600101;Kaupungintalo;Kirkkokatu 2 ;90100;OULU;5 279;6 925;25 500;5 359;1887;2010;3;1;0
600201;Torikatu 10 B;Torikatu 10 B;90100;OULU;882;1 018;3 751;819;1988;2008;2;1;0
600301;Pehkolanlampi, päärakennus;Peräkyläntie 225;90660;OULU;432;411;1 480;411;1974;2011;1;0;0
600302;Pehkolanlampi, talonmiehen as.;Peräkyläntie  219;90660;OULU;82;97;290;97;1980;0;1;0;0
600303;Pehkolanlampi, pikkusauna;Peräkyläntie 225;90660;OULU;29;36;108;36;1974;1996;1;0;0
600304;Pehkolanlampi, isosauna;Peräkyläntie 225;90660;OULU;83;96;422;96;1979;1996;1;0;0
600305;Pehkolanlampi, varasto;Peräkyläntie 225;90660;OULU;25;31;108;31;1982;0;1;0;0
600308;Pehkolanlampi, talonmiehen as. varasto;Peräkyläntie 219;90660;OULU;8;9;21;9;1980;0;1;0;0
600309;Pehkolanlampi, savusauna;Peräkyläntie 225;90660;OULU;15;0;0;0;2013;0;0;0;0
600401;Arkistokeskus;Kansankatu 55;90100;OULU;2 324;2 778;8 200;2 144;1951;2002;0;0;0
600501;Tutkimuslaitos, Kontinkangas;Kiviharjunlenkki 2;90220;OULU;2 574;2 321;12 180;2 321;2002;0;3;1;0
600701;Oulu10;Torikatu 10 A;90100;OULU;5 378;5 964;25 215;4 332;2008;0;4;2;0
600801;Ympäristötalo ;Solistinkatu 2;90100;OULU;10 375;11 478;48 318;7 071;2011;0;1;0;0
600901;Öljyntorjuntavarasto;Tervahovintie  16;90520;OULU;485;545;3 160;545;1996;0;1;0;0
600903;Öljyntorjuntavarasto, vinssikoppi;Tervahovintie 16;90520;OULU;6;6;16;6;1996;0;0;0;0
601101;Keskuspaloasema;Pikkukankaantie 2;90130;OULU;9 738;10 689;41 800;6 328;1982;0;3;1;0
601301;Ruskonselän paloasema;Tapsitie 4 B;90620;OULU;1 269;1 425;5 019;1 668;2013;0;2;0;0
601302;Ruskonselän paloasema, varasto;Tapsitie 4 B;90620;OULU;216;225;1 414;0;2013;0;1;0;0
602001;Kontinkankaan sairaala, A- ja G-siipi;Kajaanintie 46;90220;OULU;11 859;13 463;49 529;11 045;1939;0;5;1;0
602002;Kontinkankaan sairaala, D-rakennus (lamellitalo);Kajaanintie 48 A, B;90220;OULU;3 216;4 134;12 138;3 612;1939;1981;4;1;0
602003;Kontinkankaan sairaala, B-talo;Kajaanintie 46, 48;90220;OULU;0;0;0;0;0;0;0;0;0
602006;Kontinkankaan sairaala, C-rakennus;Kajaanintie 46;90220;OULU;132;181;790;181;1939;0;1;0;0
602101;Kaupunginsairaala;Kiviharjuntie 5 A;90220;OULU;11 122;12 600;52 079;10 790;2002;0;3;1;1
602102;Kaupunginsairaala, 2. vaihe;Kiviharjuntie 5 A;90220;OULU;4 559;5 137;21 426;4 600;2004;0;4;1;0
602201;Pysäköintitalo, kaupunginsairaala;Kiviharjuntie 5 D;90220;OULU;7 130;7 305;23 743;7 250;2002;0;3;0;1
602401;Rajakylän hoiva;Ruiskukkatie 2;90580;OULU;5 814;6 861;27 507;6 025;2011;0;4;0;1
602501;Savotta-aukion päiväkoti;Neitsytkorventie 20;90420;OULU;1 958;2 227;10 602;2 024;2012;0;2;0;0
602502;Savotta-aukion päiväkoti, varasto 1;Neitsytkorventie 20;90420;OULU;19;20;62;0;2012;0;0;0;0
602503;Savotta-aukion päiväkoti, varasto 2;Neitsytkorventie 20;90420;OULU;6;7;20;0;2012;0;0;0;0
602504;Savotta-aukion päiväkoti, varasto 3;Neitsytkorventie 20;90420;OULU;4;5;13;0;2012;0;0;0;0
602601;Kastellin monitoimitalo;Sairaalanrinne 5;90220;OULU;22 364;24 632;136 140;24 632;2014;0;2;0;1
603003;Tuiran sairaala, varasto ;Tuirantie 3;90500;OULU;28;33;100;33;1920;0;1;0;0
603004;Tuiran sairaala, varasto ;Tuirantie 3;90500;OULU;36;41;193;41;1920;0;1;0;0
603018;Tuiran sairaala, keittiön varasto ;Tuirantie 3;90500;OULU;0;102;400;102;1920;0;1;0;0
603019;Tuiran sairaala, entinen keittiö ;Tuirantie 3;90500;OULU;309;440;1 315;305;1920;0;1;0;0
603020;Tuiran sairaala-alue, entinen röntgen ja toimisto ;Tuirantie 3;90500;OULU;262;239;946;239;1920;0;1;0;0
603021;Tuiran sairaala, varasto ;Tuirantie 3;90500;OULU;30;36;110;36;1920;0;1;0;0
603022;Tuiran sairaala, varasto ;Tuirantie 3;90500;OULU;0;90;270;90;1920;0;1;0;0
603025;Tuiran sairaala, varasto autot ;Tuirantie 3;90500;OULU;15;35;90;35;1920;0;1;0;0
603027;Tuiran sairaala-alue, muuntamo ;Tuirantie 3;90500;OULU;0;9;27;9;1920;0;1;0;0
603028;Tuiran sairaala, jääkellari ;Tuirantie 3;90500;OULU;16;4;12;0;1920;0;0;1;0
603126;Kriisikeskus;Tuirantie 1;90500;OULU;247;324;1 183;324;1909;1988;0;0;0
603201;Tuiran mielenterveyskeskus, Tuirantie 7;Tuirantie 7;90500;OULU;1 534;2 007;6 310;1 745;1925;2002;2;1;0
603301;Tuirantie 5 (Hermola);Tuirantie 5;90500;OULU;701;812;3 466;708;1920;2002;2;1;0
603406;Vammaisten asumispalveluyksikkö, varasto;Kangaspolku 2;90500;OULU;87;89;380;89;1920;2004;1;0;0
